title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Minecraft,minecraft,PC,PC,2011,Sandbox,Mojang,Minecraft Java|Minecraft Bedrock|Minecraft Dungeons,Minecraft,minecraft|mine.craft|mc
GTA V,gta 5,PC,PC,2013,Action-Adventure,Rockstar North,GTA 5|GTA V|Grand Theft Auto Five,Grand Theft Auto,gta5|gta.v|gta.5
PUBG,pubg,PC,PC,2017,Battle Royale,KRAFTON,PlayerUnknown's Battlegrounds,PUBG,pubg|playerunknowns.battlegrounds|battlegrounds
Terraria,terraria,PC,PC,2011,Action-Adventure,Re-Logic,,Terraria,terraria
Stardew Valley,stardew valley,PC,PC,2016,Farm Sim,ConcernedApe,Stardew,Stardew Valley,stardew.valley|stardew
Garry's Mod,garrys mod,PC,PC,2004,Sandbox,Facepunch Studios,GMod,Garry's Mod,garrys.mod|gmod|garrysmod
The Sims 4,the sims 4,PC,PC,2014,Life Sim,Maxis,Sims 4,The Sims,sims.4|the.sims.4
World of Warcraft,world of warcraft,PC,PC,2004,MMORPG,Blizzard,WoW,Warcraft,world.of.warcraft|wow
Counter-Strike 2,counter strike 2,PC,PC,2023,FPS,Valve,CS2|CSGO|Counter-Strike Global Offensive,Counter-Strike,cs2|csgo
Valorant,valorant,PC,PC,2020,FPS,Riot Games,,Valorant,valorant
Apex Legends,apex legends,PC,PC,2019,Battle Royale,Respawn,,Apex Legends,apex.legends|apex
Cyberpunk 2077,cyberpunk 2077,PC,PC,2020,Action RPG,CD Projekt Red,Cyberpunk,Cyberpunk,cyberpunk.2077|cp2077
The Witcher 3,the witcher 3,PC,PC,2015,Action RPG,CD Projekt Red,Witcher 3,The Witcher,witcher.3|tw3
Elden Ring,elden ring,PC,PC,2022,Action RPG,FromSoftware,,Elden Ring,elden.ring
Red Dead Redemption 2,red dead redemption 2,PC,PC,2018,Action-Adventure,Rockstar,RDR2,Red Dead,rdr2
Fortnite,fortnite,PC,PC,2017,Battle Royale,Epic Games,,Fortnite,fortnite
Call of Duty Modern Warfare,call of duty modern warfare,PC,PC,2019,FPS,Infinity Ward,COD MW|Modern Warfare,Call of Duty,cod.mw|call.of.duty.mw
Call of Duty Warzone,call of duty warzone,PC,PC,2020,Battle Royale,Infinity Ward,COD Warzone,Call of Duty,cod.warzone|warzone
League of Legends,league of legends,PC,PC,2009,MOBA,Riot Games,LoL,League of Legends,lol|league.of.legends
Dota 2,dota 2,PC,PC,2013,MOBA,Valve,Dota,Dota,dota.2|dota2
Overwatch 2,overwatch 2,PC,PC,2022,FPS,Blizzard,OW2,Overwatch,overwatch.2|ow2
Rainbow Six Siege,rainbow six siege,PC,PC,2015,FPS,Ubisoft,R6 Siege,Counter-Strike,rainbow.six.siege|r6.siege
Rocket League,rocket league,PC,PC,2015,Sports,Psyonix,RL,Rocket League,rocket.league|rl
Rust,rust,PC,PC,2018,Survival,Facepunch Studios,,Rust,rust
Among Us,among us,PC,PC,2018,Party,InnerSloth,,Among Us,among.us|amongus
Fall Guys,fall guys,PC,PC,2020,Party,Mediatonic,,Fall Guys,fall.guys|fallguys
Hades,hades,PC,PC,2020,Roguelike,Supergiant Games,,Hades,hades
Hollow Knight,hollow knight,PC,PC,2017,Metroidvania,Team Cherry,HK,Hollow Knight,hollow.knight|hk
Celeste,celeste,PC,PC,2018,Platformer,Extremely OK Games,,Celeste,celeste
Dead Cells,dead cells,PC,PC,2018,Roguelike,Motion Twin,,Dead Cells,dead.cells|deadcells
Slay the Spire,slay the spire,PC,PC,2019,Roguelike,MegaCrit,STS,Slay the Spire,slay.the.spire|sts
